DATE,Observation time,Showalter index,Lifted index,LIFT computed using virtual temperature,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Equivalent potential temp [K] of the LCL,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
1990 JAN 1, 900101/0000,21.3,20.54,24.28,13.38,-1.27,-0.13,-1.4,12000.35,12052.02,-5.77,-4.32,116.88,114.22,808.77,823.01,295.18,932.01,355.13,301.24,18.28,3184.26,480.07
1990 JAN 2, 900102/0000,9.15,-2.08,-3.18,22.96,13.38,15.35,28.73,879.43,1141.03,-16.09,-18.06,N/A,N/A,925.1,925.26,297.42,960.02,361.14,300.95,20.42,5788.9,54.67
1990 JAN 3, 900103/0000,-14.75,-21.42,-22,45.97,37.84,42.15,79.99,5609.77,5717.97,-0.5,0,N/A,N/A,888.3,843.45,289.1,896.46,335.88,298.36,13.15,3205.49,61.87
1990 JAN 4, 900104/0000,11.44,48.48,48.47,19.9,9.09,15.08,24.17,0,0,0,0,N/A,N/A,N/A,N/A,258.16,822.13,277.24,272.9,3.73,5476.39,32.72
1990 JAN 5, 900105/0000,N/A,N/A,N/A,N/A,N/A,20.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,297.69,N/A,5663.18,0
1990 JAN 6, 900106/0000,-3.19,0.7,0.59,41.55,21.91,28.77,50.68,6960.53,6994.04,-861.62,-889.64,159.84,158.73,494.53,488.64,289.41,887.49,338.41,299.48,13.29,5770.36,63
1990 JAN 7, 900107/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,292.35,932.89,342.67,298.23,15.32,N/A,163.8
1990 JAN 10, 900110/0000,3.58,5.21,4.4,14.89,16.65,19.26,35.92,0,0,0,0,N/A,N/A,N/A,N/A,291.95,922.81,342.66,298.77,15.05,5836.41,38.17
1990 JAN 11, 900111/0000,4.21,2.94,2.18,19.83,15.89,22.1,37.98,12,31.75,-316.23,-225.47,531.79,527.14,581.66,611.16,291.2,915.78,340.81,298.64,14.45,5752.11,38.99
1990 JAN 12, 900112/0000,8.73,8.64,8.28,19.03,11.56,14.24,25.8,0,0,0,0,N/A,N/A,N/A,N/A,293.47,937.99,346.51,298.92,16.34,5515.96,57.3
1990 JAN 15, 900115/0000,14.38,7.18,6.66,N/A,2.15,21.27,23.42,0,0,0,0,N/A,N/A,N/A,N/A,287.58,898.15,330.34,296.57,11.76,5635.33,16.68
1990 JAN 16, 900116/0000,15.81,9.51,8.99,N/A,0.16,20.1,20.26,0,0,0,0,N/A,N/A,N/A,N/A,288.91,928.92,330.42,295.08,12.27,5780,18.51
1990 JAN 17, 900117/0000,8.49,3.37,2.72,N/A,12.87,20.12,32.99,0,17.6,0,-54.2,N/A,755.07,N/A,837.7,290.61,932.09,336.06,296.54,13.69,5638.75,24.66
1990 JAN 18, 900118/0000,11.76,8,7.33,N/A,6.77,19.58,26.35,0,0,0,0,N/A,N/A,N/A,N/A,290.2,915.49,337.02,297.64,13.55,5829.91,25.19
1990 JAN 23, 900123/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A
1990 JAN 24, 900124/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.9,146.84,-6.73,-2.99,727.9,699.89,907.32,915.74,290.52,924.15,336.9,297.17,13.73,N/A,25.67
1990 JAN 25, 900125/0000,4.89,4.64,3.85,N/A,14.51,21.47,35.97,0,0,0,0,N/A,N/A,N/A,N/A,292.05,928.6,342.14,298.33,15.04,5814.88,28.28
1990 JAN 27, 900127/0000,8.55,-1.05,-2.09,N/A,9.53,23.55,33.08,521.44,692.45,-229.19,-54.5,231.66,271.51,632.7,820.47,295.21,957.25,351.01,298.94,17.86,5773.73,26.17
1990 JAN 28, 900128/0000,N/A,3.96,3.19,N/A,N/A,24.07,N/A,0,0,0,0,N/A,N/A,N/A,N/A,291.6,923.68,341.14,298.33,14.71,5690.94,15.06
1990 JAN 29, 900129/0000,4.61,1.97,0.9,N/A,15.4,19.36,34.76,5433.79,5465.05,-923.22,-531.3,165.79,165.66,337.76,337.59,294.57,932.01,352.35,300.58,17.61,6480.5,29.3
1990 JAN 31, 900131/0000,7.97,2.22,1.47,N/A,11.9,21.9,33.8,0,0,0,0,N/A,N/A,N/A,N/A,290.77,907.89,340.37,298.93,14.22,5785,24.39
1990 FEB 1, 900201/0000,2.77,0.25,-0.75,26.64,17.07,22.2,39.27,6.54,51.5,-373.05,-229.29,431.97,433.3,480.28,507.77,294.67,949.11,349.93,299.14,17.4,5783.1,45.34
1990 FEB 2, 900202/0000,-14.96,-21.71,-22.27,46.7,38.58,41.96,80.54,5553.72,5656.24,-0.05,0,N/A,N/A,901.72,857.89,289.42,909.23,335.11,297.49,13.25,3133.77,62.67
1990 FEB 4, 900204/0000,10.09,-1.06,-2.01,N/A,6.81,24.32,31.13,343.78,470.03,-272.01,-1704.46,301.37,N/A,561.99,155.22,294.65,959.56,348.14,298.17,17.16,5635.14,25.73
1990 FEB 7, 900207/0000,-15.53,-24.07,-24.76,47.94,39.3,41.93,81.23,9993.57,10202.54,-0.23,0,N/A,N/A,935.19,906.24,292.12,940.51,340.57,297.32,15.03,5064.92,66.33
1990 FEB 8, 900208/0000,2.35,-1.46,-2.26,N/A,18.51,24.18,42.7,187.47,344.37,-81.43,-63.61,440.77,440.85,831.76,841.82,290.48,888.37,342.33,300.49,14.24,5711.03,26.23
1990 FEB 9, 900209/0000,1.65,-3.72,-4.9,6.39,18.72,22.9,41.62,11415.04,11612.13,-2.19,-0.48,119.82,115.43,887.65,900.77,295.83,943.37,356.22,300.84,18.87,3279.69,40.95
1990 FEB 10, 900210/0000,N/A,N/A,N/A,N/A,N/A,14.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,274.85,N/A,4900.28,0
1990 FEB 11, 900211/0000,0.7,-5.16,-6.2,N/A,21.43,22.53,43.96,1351.08,1564.16,-3.24,-3.47,225.61,286.95,936.65,937.41,294.94,948.81,351.18,299.42,17.68,5674.29,33.6
1990 FEB 12, 900212/0000,9.96,1.57,0.74,N/A,8.12,22.85,30.96,0,0.24,0, ********,N/A,N/A,N/A,36.34,291,894.58,343.39,300.43,14.74,5775.01,23.79
1990 FEB 13, 900213/0000,4.82,-1.69,-2.64,N/A,15.7,22.7,38.4,603.15,897.82,-3.93,-0.46,272.11,275.02,920.89,935.2,293.73,936.25,347.9,299.33,16.61,5759,30.76
1990 FEB 14, 900214/0000,4,0.39,-0.52,N/A,16.09,22.5,38.59,8092.13,8136.03,-309.16,-27.12,126.1,123.59,483.06,798.42,292.26,908.39,346.25,300.5,15.78,3332.72,32.63
1990 FEB 16, 900216/0000,-5.83,-7.61,-8.67,35.89,26.21,28.35,54.56,8469.64,8611.57,-10.45,-6.39,127.64,116.84,827.17,847.68,294.62,935.6,351.94,300.32,17.59,3355.85,47.56
1990 FEB 17, 900217/0000,0.85,-3.04,-4.17,31.2,18.8,24.34,43.13,840.46,1089.54,-67.54,-36.86,163.1,162.42,772.58,822.49,295.66,949.11,354.46,300.15,18.54,5729.7,46.44
1990 FEB 18, 900218/0000,0.92,-0.82,-1.92,32.13,19.5,20.87,40.37,11536.96,11678.49,-1.09,-0.45,118.94,116.1,880.5,894.62,295.52,949.87,353.67,299.95,18.32,3338.15,50.98
1990 FEB 19, 900219/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.13,5.69,-2.7,-0.98,898.47,885.54,923.43,935.92,294.65,958.66,348.28,298.26,17.22,N/A,160.92
1990 FEB 20, 900220/0000,3.48,N/A,N/A,15.9,18.1,20.1,38.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,5749,5749
1990 FEB 21, 900221/0000,11.46,1.96,1.03,N/A,7.95,19.6,27.55,0.52,126.45,-48.72,-20.61,527.44,527.43,817.25,871.09,293.83,943.09,347.24,298.82,16.59,5773.5,24.55
1990 FEB 22, 900222/0000,8.22,3.45,2.63,N/A,10.3,22.3,32.6,0,0,0,0,N/A,N/A,N/A,N/A,292.09,922.32,343.29,298.94,15.19,5797,23.75
1990 FEB 23, 900223/0000,N/A,0.35,-0.79,N/A,N/A,24.89,N/A,0,20.03,0,-138.99,N/A,573.1,N/A,551.5,295.93,954.99,354.72,299.88,18.8,5670.7,21.15
1990 FEB 24, 900224/0000,15.04,7.03,6.23,0.14,3.44,17.3,20.73,10.78,23.69,-0.77,-0.34,899.75,881.92,940.88,941.65,292.72,943.36,342.52,297.66,15.49,5664.15,25.52
1990 FEB 25, 900225/0000,7.65,4.26,3.45,N/A,13.37,18.21,31.58,0,1.03,0,-886.13,N/A,N/A,N/A,218.99,292.45,936.14,342.59,298.04,15.31,5759.63,29.69
1990 FEB 26, 900226/0000,5.82,3.92,3.09,17.47,12.82,22.67,35.49,0,0,0,0,N/A,N/A,N/A,N/A,291.44,904.25,343.56,299.96,14.86,5750.92,34.51
1990 FEB 27, 900227/0000,4.87,-0.18,-1.08,14.31,14.4,24,38.4,5168.88,5239,-496.23,-311.18,239.14,239.14,501.15,497.06,293.32,935.11,346.34,299.03,16.22,5637.64,36.4
1990 FEB 28, 900228/0000,-4.93,-5.39,-6.64,43.63,23.57,28.04,51.62,12771.57,12966.55,-104.85,-100.79,122.09,121.73,733.91,737.49,296.85,959.11,358.43,300.48,19.7,4458.06,57.6
1990 MAR 1, 900301/0000,5.58,-4.54,-5.64,23.06,10.73,28.53,39.26,7667.68,7848.81,-139.96,-81.76,N/A,N/A,728.69,769.13,295.22,943.45,353.35,300.2,18.09,4652.67,38.67
1990 MAR 2, 900302/0000,4.28,-0.47,-1.65,N/A,14.38,23.02,37.4,81.6,347.04,-245.32,-95.08,319.35,N/A,585.21,475.46,295.7,940.12,356.18,301,18.72,5820.54,24.96
1990 MAR 4, 900304/0000,1.7,0.69,-0.42,N/A,17.36,22.4,39.77,0,29.99,0,-196.34,N/A,533.34,N/A,587.28,294.91,933.2,353.68,300.83,17.95,5694.16,39.82
1990 MAR 5, 900305/0000,3.19,-2.15,-3.03,18.96,16.68,23.18,39.86,3973.8,4217.76,-146.99,-16.82,132.18,131.03,590.99,889.65,295.23,946.25,352.94,299.95,18.07,7343.97,43.83
1990 MAR 6, 900306/0000,2.28,1,0.27,20.9,17.7,21.5,39.2,0,0,0,0,N/A,N/A,N/A,N/A,293.25,915.36,349.28,300.79,16.49,5809.88,43.51
1990 MAR 7, 900307/0000,3.06,-0.93,-1.99,16.1,16.7,22.7,39.4,256.57,476.9,-121.27,-51.14,290.27,291.1,689.24,765.23,294.66,936.82,351.93,300.23,17.6,5784,40.36
1990 MAR 8, 900308/0000,7.92,5.44,4.52,N/A,9.4,22.4,31.8,0,0,0,0,N/A,N/A,N/A,N/A,292.67,915.87,346.72,300.15,15.94,5856.49,22.45
1990 MAR 11, 900311/0000,3.27,3.39,2.43,27.19,16.57,19.75,36.32,455.88,492.17,-673.6,-459.49,N/A,N/A,453.29,449.65,294.12,943.01,348.51,299.12,16.89,7845.22,47.09
1990 MAR 13, 900313/0000,4.28,0.25,-0.86,26.99,16.69,18.56,35.25,181.58,334.4,-2.89,-2.13,523.57,493.91,929.94,934.26,295.7,953.69,353.83,299.75,18.43,5522.08,49.11
1990 MAR 14, 900314/0000,N/A,-0.4,-1.72,N/A,N/A,19.92,N/A,0,0,0,0,N/A,N/A,N/A,N/A,297.01,950.09,360.83,301.4,20.1,4986.4,19.85
1990 MAR 15, 900315/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,454.16,566.77,-44.29,-20.71,N/A,N/A,872.81,889.05,296,939.4,357.72,301.35,19.09,N/A,39.13
1990 MAR 16, 900316/0000,12.85,7.27,7.35,19.71,5.05,14.9,19.95,0,0,0,0,N/A,N/A,N/A,N/A,297.35,946.13,363.27,302.12,20.65,5337.26,82.6
1990 MAR 17, 900317/0000,-1.21,-6.03,-7.34,32.35,21,23.84,44.84,4172.76,4538.53,-11.78,-9.2,109.62,109.3,899.67,904.86,298.2,958.57,365.43,301.84,21.46,5769.75,55.41
1990 MAR 21, 900321/0000,1.81,-1.91,-3.21,25.31,17.47,22.42,39.89,3271.81,3601.64,-65.36,-51.3,133.03,131.85,815.34,840.02,296.84,950.09,359.98,301.25,19.88,5736.91,46.55
1990 MAR 22, 900322/0000,10.82,4.56,3.3,N/A,9.03,14.73,23.76,16.47,195.17,-2.02,-1.44,795.37,573.92,928.22,933.28,296.78,953.67,359.02,300.84,19.72,5538.41,39.04
1990 MAR 23, 900323/0000,0.65,-1.43,-2.68,N/A,18.7,22.35,41.05,18091.29,18362.08,-53.88,-33.66,144.68,144.47,728.54,786.33,296.63,952.59,358.47,300.82,19.58,4404.64,44.67
1990 MAR 24, 900324/0000,8.19,-0.72,-1.68,15.5,13.37,19.3,32.68,405.82,413.6,0,0,282.72,533.1,929.34,929.34,293.62,929.34,348.57,299.86,16.77,5635.15,36.07
1990 MAR 25, 900325/0000,0.38,-0.48,-1.67,22.79,19.16,21.61,40.77,343.72,610.21,-76.62,-60.64,N/A,N/A,730.29,776.86,296.01,946.96,356.46,300.68,18.94,5817.68,47.98
1990 MAR 28, 900328/0000,4.99,-0.84,-2.04,32.24,13.23,23.75,36.98,87.66,228.18,-172.59,-108.34,359.78,437.81,726.05,741.08,295.78,939.93,356.6,301.09,18.82,5646.7,48.14
