INDEX,YEAR,MN,DT,MAX,MIN,AW,RF,EVP,DRNRF(hrs),DRNRF(mnts),SSH,TS,N,FFF,D,TOCSQ,DU,RA,DZ,SN,SL,HA,TH,DS,FG,GA,T,G,DUR,T,G,DUR,T,G,DUR,T,G,DUR,
43353,1990,JAN,1,31.7,24.6,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,470,0,185,  , , ,   , , ,   ,  
43353,1990,JAN,2,31.3,24.6,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,7,145,6,85,23,2,3,115,1,3,445,  
43353,1990,JAN,3,31.5,23.9,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,220, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,4,31.7,22.8,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,360, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,5,31.7,22.5,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,495, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,6,32.3,24.8,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,4,10,5,265,12,1,2,315, , ,   ,  
43353,1990,JAN,7,27,23.3,0,1.7,   ,8,43,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,2,20,5,509,14,1,4,90, , ,   ,  
43353,1990,JAN,8,27.6,23.2,0,1,   ,5,14,   ,  , ,   , ,    ,  ,0,1,0,0,0,0,0,0,0,5,4,20,1,235,  , , ,   , , ,   ,  
43353,1990,JAN,9,30.5,23.5,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,240, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,10,32.6,22.9,0,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,195, ,   ,  , , ,   , , ,   ,  
