INDEX,YEAR,MN,HR,DT,SLP,MSLP,DBT,WBT,DPT,RH,VP,DD,FFF,AW,VV,Cl,A,Cm,A,Ch,A,Dl,Dm,Dh,TC,h,c,a,Ht,RF,EVP,DW,P,H,WAT,,
43353,1991,JAN,0,1,1009.3,1010,24.4,23,22.3,88,26.9,0,0,  ,96,8,3,3,3,0,0,7,9,0,6,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,JAN,0,2,1008.8,1009.5,24.2,23.4,23,93,28.1,0,0,  ,96,8,2,0,0,1,3,9,0,9,5,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,JAN,0,3,1008.3,1009,24.4,23.4,22.9,91,27.9,0,0,  ,96,8,2,3,2,1,1,9,9,9,5,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,JAN,0,4,1009.9,1010.6,22.8,21.6,21.5,98,25.6,99,5,  ,96,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75,,   ,  , , ,   
43353,1991,JAN,0,5,1009.6,1010.3,24.8,22.8,21.8,83,26.1,2,12,  ,96,8,4,0,0,1,1,1,0,9,5,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,JAN,0,6,1009.3,1010,24.4,23.6,23.2,93,28.4,0,0,  ,96,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75,,   ,  , , ,   
43353,1991,JAN,0,7,1009.8,1010.5,24.4,23.6,23.2,93,28.4,99,4,  ,96,8,2,0,0,0,0,9,0,0,2,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,JAN,0,8,1011.1,1011.8,23.8,22.6,22,90,26.4,0,0,  ,96,0,0,0,0,1,3,0,0,9,3,9,0,903,0,3,75,,   ,  , , ,   
43353,1991,JAN,0,9,1010,1010.7,23.6,21.6,20.5,83,24.1,0,0,  ,96,5,1,0,0,1,3,1,0,9,4,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,JAN,0,10,1010,1010.7,24,22.8,22.2,90,26.7,0,0,  ,96,5,1,0,0,1,4,9,0,9,5,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,JAN,0,11,1010.7,1011.4,25,24,23.5,92,28.9,0,0,  ,96,8,2,3,2,0,0,9,9,0,4,4,6,461,6,1,16,,   ,  , , ,   
